City,tempmax,sealevelpressure
Kolkata,34,1001.9
Kolkata,32,1001.9
Kolkata,33,1002.5
Kolkata,34.2,1001.5
Kolkata,35,1000
Kolkata,34,1002.2
Kolkata,33,1005.1
Kolkata,34,1004.7
Kolkata,33,1002.5
Kolkata,34,1000.5
Hyderabad,37.2,1007.3
Hyderabad,37.3,1008
Hyderabad,38.6,1008.5
Hyderabad,36,1010.2
Hyderabad,34,1011.7
Hyderabad,36,1012.1
Hyderabad,37.3,1012.8
Hyderabad,36,1010.9
Hyderabad,35.2,1010.6
Hyderabad,35,1012.8
Hyderabad,33.4,1014.4
Hyderabad,33.1,1014.7
Hyderabad,34.1,1013.8
Hyderabad,33,1013.6
Hyderabad,33.8,1012.7
Hyderabad,34.9,1011.9
Hyderabad,35.2,1013.1
Hyderabad,36.9,1013.4
Hyderabad,36,1011.1
Hyderabad,35.1,1010.6
Hyderabad,36.5,1011.4
Hyderabad,35.3,1012.3
Hyderabad,34.3,1012.3
Hyderabad,35.5,1011.4
Hyderabad,35.6,1011.2
Hyderabad,37.4,1010.7
Hyderabad,37.3,1011.4
Hyderabad,36.5,1011.9
Hyderabad,37.1,1011.2
Hyderabad,37.3,1010.9
Hyderabad,35.1,1010.5
Hyderabad,34.4,1010.6
Hyderabad,35.4,1011.2
Hyderabad,33,1010.5
Hyderabad,35.9,1010.5
Hyderabad,36.8,1011.5
Hyderabad,35.3,1011.9
Hyderabad,35.4,1011
Hyderabad,36.9,1009.8
Hyderabad,36.6,1009
Hyderabad,36.7,1008.3
Hyderabad,38,1007.3
Hyderabad,36.9,1007
Hyderabad,35.9,1006.8
Hyderabad,32.9,1005.9
Hyderabad,31.3,1007.1
Hyderabad,35.9,1008.3
Hyderabad,34.9,1008.6
Hyderabad,36.2,1008.2
Hyderabad,33.9,1008.5
Hyderabad,35.8,1008
Hyderabad,37.2,1007.5
Hyderabad,38.4,1007.4
Hyderabad,36,1007.9
Hyderabad,38.4,1005.5
Hyderabad,38.9,1004
Hyderabad,35.5,1005.5
Hyderabad,34.5,1007.7
Hyderabad,36.8,1008.2
Hyderabad,35.8,1008.3
Hyderabad,36.5,1006.8
Hyderabad,34.8,1007.8
Hyderabad,32.6,1009.1
Hyderabad,30,1010.6
Hyderabad,32,1010.9
Hyderabad,33.3,1009.9
Hyderabad,33,1009.7
Hyderabad,34.4,1009.2
Hyderabad,33.7,1008
Hyderabad,29.8,1007.1
Hyderabad,30.4,1006
